topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Thermal Physics,Thermodynamic Processes,thermodynamics;process;isothermal,Eduqas;AQA;OCR;Edexcel,Which thermodynamic process occurs at constant temperature?,Isobaric,Isochoric,Isothermal,Adiabatic,C,Isothermal processes maintain constant temperature throughout.,easy
Thermal Physics,Thermodynamic Processes,adiabatic;heat transfer;thermodynamics,Eduqas;AQA;OCR;Edexcel,"In an adiabatic process, which quantity is constant?",Volume,Temperature,Internal energy,Heat transfer,D,Adiabatic processes involve no heat exchange (Q = 0).,medium
Thermal Physics,Thermodynamic Processes,isothermal;internal energy;work,Eduqas;AQA;OCR;Edexcel,In which process is work done by a gas with no change in internal energy?,Adiabatic,Isothermal,Isochoric,Isobaric,B,"In isothermal processes (ΔT = 0), ΔU = 0, so Q = W.",medium
Thermal Physics,Thermodynamic Processes,first law;thermodynamics;ΔU = Q - W,Eduqas;AQA;OCR;Edexcel,Which equation represents the first law of thermodynamics?,ΔQ = ΔU + W,ΔU = Q - W,Q = mcΔT,P = F/A,B,"The first law is ΔU = Q - W (Q is heat added, W is work done by the system).",easy
Thermal Physics,Thermodynamic Processes,internal energy;first law;calculation,Eduqas;AQA;OCR;Edexcel,A gas absorbs 500 J of heat and does 200 J of work. What is the change in internal energy?,300 J,700 J,-300 J,100 J,A,ΔU = Q - W = 500 - 200 = 300 J.,medium
Thermal Physics,Thermodynamic Processes,work;cycle;PV diagram,Eduqas;AQA;OCR;Edexcel,What is the net work done during a complete thermodynamic cycle?,Zero,Equal to heat absorbed,Equal to internal energy change,Equal to area enclosed on PV diagram,D,"In a PV diagram, work is the area enclosed by the cycle.",hard
Thermal Physics,Thermodynamic Processes,isobaric;pressure;thermodynamics,Eduqas;AQA;OCR;Edexcel,Which process occurs at constant pressure?,Isothermal,Adiabatic,Isobaric,Isochoric,C,Isobaric processes occur at constant pressure.,easy
Thermal Physics,Thermodynamic Processes,isochoric;no work;constant volume,Eduqas;AQA;OCR;Edexcel,Which process results in no work being done by the gas?,Adiabatic,Isochoric,Isothermal,Isobaric,B,Isochoric (constant volume) processes do no work because W = PΔV = 0.,medium
Thermal Physics,Thermodynamic Processes,isothermal;heat;work;first law,Eduqas;AQA;OCR;Edexcel,A gas expands isothermally and does 400 J of work. How much heat is absorbed?,400 J,0 J,-400 J,Depends on volume,A,"In isothermal expansion, ΔU = 0 → Q = W = 400 J.",medium
Thermal Physics,Thermodynamic Processes,adiabatic;compression;temperature,Eduqas;AQA;OCR;Edexcel,"During adiabatic compression, what happens to the temperature of the gas?",It decreases,It remains constant,It increases,It becomes zero,C,"In adiabatic compression, work is done on the gas without heat loss, so internal energy and temperature increase.",hard
Thermal Physics,Temperature and Thermometers,thermometers;temperature;resistance,Eduqas;AQA;OCR;Edexcel,Which of the following is a physical property used in thermometers to measure temperature?,Colour,Mass,Density,Electrical resistance,D,"Temperature can be measured using physical properties like electrical resistance, which changes with temperature.",medium
Thermal Physics,Temperature and Thermometers,celsius scale;fixed points;freezing point,Eduqas;AQA;OCR;Edexcel,What is the fixed point on the Celsius scale that corresponds to 0 °C?,Boiling point of water,Triple point of water,Freezing point of water,Absolute zero,C,0 °C is defined as the freezing point of pure water at standard atmospheric pressure.,easy
Thermal Physics,Temperature and Thermometers,kelvin scale;absolute zero;temperature,Eduqas;AQA;OCR;Edexcel,Which temperature scale is based on absolute zero?,Celsius,Fahrenheit,Kelvin,Rankine,C,"The Kelvin scale starts at absolute zero, the theoretical point where particles have minimal kinetic energy.",easy
Thermal Physics,Temperature and Thermometers,temperature conversion;celsius to kelvin,Eduqas;AQA;OCR;Edexcel,Convert a temperature of 27 °C to Kelvin.,273 K,300 K,246 K,327 K,B,K = °C + 273 → 27 + 273 = 300 K.,easy
Thermal Physics,Temperature and Thermometers,mercury;thermometer;thermal expansion,Eduqas;AQA;OCR;Edexcel,Which property makes mercury suitable for use in thermometers?,Poor thermal conductivity,High specific heat capacity,Visible colour change,Uniform expansion with temperature,D,"Mercury expands uniformly with temperature, making it ideal for thermometers.",medium
Thermal Physics,Temperature and Thermometers,absolute zero;celsius;temperature scale,Eduqas;AQA;OCR;Edexcel,At what temperature does absolute zero occur on the Celsius scale?,-100 °C,-273 °C,0 °C,-273.15 °C,D,"Absolute zero is -273.15 °C, where kinetic energy of particles is minimal.",medium
